"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.013407000E0,-8.790000081E-1,2.667999983E0,9.741000175E0,1.013794601E1
1.018439000E0,-8.870000243E-1,2.714999914E0,9.762000084E0,1.017126537E1
1.023405231E0,-8.510000110E-1,2.770999908E0,9.751000404E0,1.017274055E1
1.028478539E0,-8.019999862E-1,2.809000015E0,9.750000000E0,1.017822111E1
1.033671923E0,-7.419999838E-1,2.832000017E0,9.784999847E0,1.021356990E1
1.038567154E0,-6.940000057E-1,2.857000113E0,9.873999596E0,1.030242465E1
1.043643923E0,-6.620000005E-1,2.874000072E0,1.001200008E1,1.043734957E1
1.048432692E0,-6.629999876E-1,2.874000072E0,1.018799973E1,1.060635582E1
1.055459154E0,-7.699999809E-1,2.838999987E0,1.051599979E1,1.091966449E1
1.058700539E0,-8.259999752E-1,2.809000015E0,1.064000034E1,1.103550472E1
1.065733308E0,-9.900000095E-1,2.703999996E0,1.104100037E1,1.141032011E1
1.068479539E0,-1.044999957E0,2.670000076E0,1.118700027E1,1.154858868E1
1.073460385E0,-1.157999992E0,2.601000071E0,1.149300003E1,1.184040603E1
1.078460385E0,-1.348999977E0,2.411000013E0,1.203999996E1,1.235290739E1
1.085352077E0,-1.348999977E0,2.411000013E0,1.203999996E1,1.235290739E1
1.088417692E0,-1.402999997E0,2.335000038E0,1.221300030E1,1.251311354E1
1.093673462E0,-1.442000031E0,2.302999973E0,1.228800011E1,1.258483689E1
1.098438385E0,-1.485000014E0,2.290999889E0,1.226299953E1,1.256324254E1
1.103437077E0,-1.544000030E0,2.283999920E0,1.214099979E1,1.245007902E1
1.108432692E0,-1.585999966E0,2.278000116E0,1.205000019E1,1.236556448E1
1.114132462E0,-1.707999945E0,2.266999960E0,1.169900036E1,1.203840363E1
1.118407077E0,-1.733999968E0,2.263999939E0,1.154399967E1,1.189102098E1
1.123421385E0,-1.746000051E0,2.255000114E0,1.113700008E1,1.149636084E1
1.128798615E0,-1.598999977E0,2.269999981E0,1.032999992E1,1.069666300E1
1.133399231E0,-1.501000047E0,2.293999910E0,1.003899956E1,1.040658200E1
1.138398077E0,-1.230000019E0,2.371000051E0,9.413000107E0,9.784636544E0
1.143404308E0,-8.470000029E-1,2.473999977E0,8.779000282E0,9.160181813E0
1.148399462E0,-4.259999990E-1,2.591000080E0,8.250000000E0,8.657785942E0
1.153481385E0,-1.600000076E-2,2.700999975E0,7.849999905E0,8.301695933E0
